model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
Hist-Sim,GDAXI,1922,27,0.01404786680541103,0.09276823427206593,Green,0.0004489889529466597,0.031748735016538875,1
Hist-Sim,FCHI,1935,1,0.0005167958656330749,2.6478512160643675e-08,Green,0.0005766586756214591,0.057018739448485754,1
Hist-Sim,FTSE100,1911,28,0.014652014652014652,0.05595373799650449,Green,0.00037735335574881916,0.025828569543376353,1
Hist-Sim,ICLN,1263,12,0.009501187648456057,0.8574177948902022,Green,0.0005507558045899476,0.04553807941528741,1
Hist-Sim,NIKKEI,1851,23,0.01242571582928147,0.31217943682767,Green,0.0004842311471111436,0.034979959283846576,1
Hist-Sim,HSI,1862,21,0.011278195488721804,0.586975071178917,Green,0.0005237003123526196,0.036104046416093646,1
Hist-Sim,BOVESPA,1873,9,0.004805125467164976,0.011946898072929923,Green,0.000488841973103545,0.039541284787081916,1
Hist-Sim,NIFTY,1287,9,0.006993006993006993,0.2517433962001323,Green,0.0003203840406326241,0.025252150473754547,1
Hist-Sim,ASX200,1912,37,0.019351464435146442,0.0002707004628530463,Yellow,0.00037919134633655104,0.026903172741585244,1
Hist-Sim,CBU0,1055,39,0.03696682464454976,1.2687850770021214e-11,Red,0.00018863932885177564,0.00900289963671197,1
Hist-Sim,TLT,1709,24,0.014043300175541252,0.11333029769686398,Green,0.00029781769849958226,0.02480860429911952,1
Hist-Sim,IBGL,1305,10,0.007662835249042145,0.3761843979564674,Green,0.00024674910777161964,0.022701130170844543,1
Hist-Sim,DJCI,772,10,0.012953367875647668,0.4302223849444151,Green,0.0004050558441318885,0.02541681600841115,1
Hist-Sim,GOLD,1848,18,0.00974025974025974,0.9102630048221472,Green,0.0004271357315045719,0.029093827818357693,1
Hist-Sim,WTI,1850,29,0.015675675675675675,0.02347826221877125,Green,0.0013628171143255582,0.08988188210165449,1
Hist-Sim,NATGAS,1850,28,0.015135135135135135,0.03907385822956,Green,0.001418844515163001,0.10515407677058944,1
Hist-Sim,BTC,1185,2,0.0016877637130801688,0.00037241524664766157,Green,0.001052157162068875,0.09968840222510562,1
Hist-Sim,ETH,841,0,0.0,3.930486972447689e-05,Green,0.0014668594898937543,0.14659961365947294,1
Hist-Sim,EURUSD,1660,2,0.0012048192771084338,4.92997255041594e-06,Green,0.0001888614945079679,0.01824367097354781,1
Hist-Sim,GBPUSD,1664,11,0.006610576923076923,0.13862323026716838,Green,0.00019980655202141034,0.01536821930733,1
Hist-Sim,USDJPY,1966,12,0.006103763987792472,0.061302166389549884,Green,0.00021828865254904222,0.018141101252283066,1
Hist-Sim,AUDUSD,1473,8,0.005431093007467753,0.05363905535374636,Green,0.00021801264540546636,0.017801247963200942,1
EWMA,SP500,1902,22,0.011566771819137749,0.5028197031201949,Green,0.0004746717035157536,0.03650405462622943,1
EWMA,STOXX,1577,24,0.015218769816106531,0.05309922742688933,Green,0.00042027806331936495,0.028320197174075856,1
EWMA,GDAXI,1922,2,0.001040582726326743,4.3237394264927786e-07,Green,0.000612156995165325,0.06043120366949922,1
EWMA,FCHI,1935,27,0.013953488372093023,0.09907377190052935,Green,0.0004392844692987054,0.030838570093239898,1
EWMA,FTSE100,1911,28,0.014652014652014652,0.05595373799650449,Green,0.000376531106812671,0.02614581710758832,1
EWMA,ICLN,1263,12,0.009501187648456057,0.8574177948902022,Green,0.0005503653571421461,0.04543290063615918,1
EWMA,NIKKEI,1851,21,0.011345218800648298,0.5690586997989819,Green,0.00048517092401472394,0.03528667729370424,1
EWMA,HSI,1862,7,0.0037593984962406013,0.0019283383354207206,Green,0.0005521893646782931,0.04330096430303042,1
EWMA,BOVESPA,1873,9,0.004805125467164976,0.011946898072929923,Green,0.0004883527917483922,0.04012764707541589,1
EWMA,NIFTY,1287,2,0.001554001554001554,0.00014894756117322938,Green,0.00047923589447368463,0.04723742780329383,1
EWMA,ASX200,1912,33,0.017259414225941423,0.0038293293670698114,Yellow,0.00037757574311175513,0.027254126093292048,1
EWMA,CBU0,1055,40,0.037914691943127965,3.205657961302677e-12,Red,0.00019363103364628854,0.00895295065811252,1
EWMA,TLT,1709,25,0.014628437682855471,0.07202950117264795,Green,0.0002965043208486039,0.02490836293220201,1
EWMA,IBGL,1305,9,0.006896551724137931,0.23265780356178123,Green,0.0002335848930234611,0.022009574065148745,1
EWMA,DJCI,772,10,0.012953367875647668,0.4302223849444151,Green,0.0004179066559352453,0.025596157930309033,1
EWMA,GOLD,1848,15,0.008116883116883116,0.40029188688295214,Green,0.00045617435663692404,0.03199677631744862,1
EWMA,WTI,1850,28,0.015135135135135135,0.03907385822956,Green,0.001373868315379293,0.09166963954379127,1
EWMA,NATGAS,1850,32,0.017297297297297298,0.004260006335662037,Yellow,0.0014301968043949234,0.10104454962076405,1
EWMA,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0010863571915684911,0.1038977532707015,1
EWMA,ETH,841,0,0.0,3.930486972447689e-05,Green,0.0014936444913003426,0.14927811380013173,1
EWMA,EURUSD,1660,2,0.0012048192771084338,4.92997255041594e-06,Green,0.00018966233746944952,0.018337839314349964,1
EWMA,GBPUSD,1664,11,0.006610576923076923,0.13862323026716838,Green,0.00020085284017919567,0.01574654734296747,1
