alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.05,Chronos-Mini,ICLN,2762,1185,0.0250985194603095,0.4354430379746835,0.0421940928270042,516,50,0.0,0.2056879223809953,0.0923535137419326,0.6768785777420647,Red,Red,0.0051475466810415,0.0017673642455722,0.0283274554116778,0.0032289359513683023
0.1,Chronos-Mini,ICLN,2762,1185,0.0167945219744133,0.4481012658227848,0.1063291139240506,531,126,0.0,0.4717640311766815,0.1147259603429886,0.721844921466835,Red,Red,0.005502528096909,0.0029497848084246,0.0194579046911979,0.0026633827167845993
0.01,Chronos-Mini,NIKKEI,4134,1772,0.039270611287087,0.4198645598194131,0.0084650112866817,744,15,0.0,0.5047655053367646,0.4389837743469809,0.0205030114466333,Red,Green,0.0040038811571631,0.0005430722307686,0.0405425257786415,0.0012719144915545044
0.025,Chronos-Mini,NIKKEI,4134,1772,0.0285324672904002,0.4238148984198646,0.0174943566591422,751,31,0.0,0.0325692566586994,0.4460777004350816,0.0562452627858924,Red,Yellow,0.0040919180223957,0.0010048747946223,0.0296447942027168,0.001112326912316601
0.05,Chronos-Mini,NIKKEI,4134,1772,0.0214242205703682,0.4300225733634311,0.0366817155756207,762,65,0.0,0.0070408329817523,0.5987028185421065,0.0101108913750175,Red,Red,0.0041973722132982,0.0015925224816474,0.0223657637729273,0.0009415432025590975
0.1,Chronos-Mini,NIKKEI,4134,1772,0.0153875079566119,0.4390519187358916,0.0852144469525959,778,151,0.0,0.0337302136945039,0.6073162413257139,0.0032932498232191,Red,Red,0.0043663723304655,0.0024806558498127,0.0160184296034061,0.0006309216467941994
0.01,Chronos-Mini,HSI,4160,1784,0.0376807096709936,0.4187219730941704,0.007286995515695,747,13,0.0,0.2262291955754071,0.6836651193601917,0.0112133280719728,Red,Green,0.0044593270618567,0.0005382419759585,0.0398539443745156,0.0021732347035220007
0.025,Chronos-Mini,HSI,4160,1784,0.0273782140109356,0.4243273542600896,0.0190582959641255,757,34,0.0,0.0936153660092404,0.8250641775534335,0.3839013492946067,Red,Yellow,0.0045681776173287,0.0010072627822547,0.0293558001887853,0.0019775861778497
0.05,Chronos-Mini,HSI,4160,1784,0.0202316473971605,0.4344170403587444,0.0504484304932735,775,90,0.0,0.9308443212743772,0.8960010003317256,0.525965124982549,Red,Red,0.0046948072205791,0.0015995613991945,0.0219962885355858,0.0017646411384252998
0.1,Chronos-Mini,HSI,4160,1784,0.0137580921038341,0.4512331838565022,0.1294843049327354,805,231,0.0,6.613719934034368e-05,0.94713091986765,0.2255524601134659,Red,Red,0.0049211636258759,0.0026171610978654,0.0151271442943018,0.0013690521904676997
0.01,Chronos-Mini,BOVESPA,4186,1794,0.0437853619143806,0.4091415830546265,0.0044593088071348,734,8,0.0,0.0080871798467148,0.3882685382498213,0.082868933798595,Red,Green,0.0039217720115101,0.0006303770977894,0.0463431732437243,0.0025578113293436983
0.025,Chronos-Mini,BOVESPA,4186,1794,0.03210403314275,0.4169453734671126,0.011705685618729,748,21,0.0,5.839255994655179e-05,0.4155614962593035,0.0058896988362893,Red,Green,0.0040596830247652,0.0011194957971979,0.0343928340592239,0.0022888009164738973
